Admin regions,category,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
South Korea,total fertility rate,1.48,1.309,1.178,1.191,1.164,1.085,1.132,1.259,1.192,1.149,1.226,1.244,1.297,1.187,1.205,1.239,1.172,1.052,0.977,0.918,0.837,0.808,0.778,0.721,0.748
South Korea,15-19 (¢¶),2.6,2.4,2.7,2.5,2.4,2.2,2.2,2.3,1.7,1.7,1.8,1.8,1.8,1.7,1.6,1.4,1.3,1,0.9,0.8,0.7,0.4,0.4,0.3,0.4
South Korea,20-24 (¢¶),39.2,31.7,26.8,23.9,20.8,18,17.8,19.7,18.2,16.5,16.5,16.4,16,14,13.1,12.5,11.5,9.6,8.2,7.1,6.2,5,4.1,3.8,3.8
South Korea,25-29 (¢¶),150.3,129.8,111.4,112.2,105,92.1,89.9,95.9,85.6,80.4,79.7,78.4,77.4,65.9,63.4,63.1,56.4,47.9,41,35.7,30.6,27.5,24,21.4,20.7
South Korea,30-34 (¢¶),84.1,78.1,75,79.7,83.7,82.1,90,102,101.5,100.8,112.4,114.4,121.9,111.4,113.8,116.7,110.1,97.7,91.4,86.2,78.9,76.1,73.5,66.7,70.4
South Korea,35-39 (¢¶),17.6,17.3,16.9,17.4,18.6,19,21.5,25.9,26.5,27.3,32.6,35.4,39,39.5,43.2,48.3,48.7,47.2,46.1,45,42.3,43.5,44.1,43,46
South Korea,40-44 (¢¶),2.7,2.6,2.5,2.6,2.6,2.5,2.7,3.1,3.2,3.4,4.1,4.6,4.9,4.8,5.2,5.6,5.9,6,6.4,7,7.1,7.6,8,7.9,7.7
South Korea,45-49 (¢¶),0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Seoul,total fertility rate,1.275,1.111,1.006,1.014,1.015,0.932,0.98,1.068,1.01,0.962,1.015,1.014,1.059,0.968,0.983,1.001,0.94,0.836,0.761,0.717,0.642,0.626,0.593,0.552,0.581
Seoul,15-19 (¢¶),1.3,1.3,2.2,1.8,1.7,1.5,1.5,1.4,1.1,1,1.1,1,1.2,1.2,1,1,0.9,0.7,0.6,0.5,0.3,0.2,0.2,0.2,0.2
Seoul,20-24 (¢¶),23.5,18.3,14.9,14,11.6,9.8,9.3,10,9.1,8.2,8.1,8.3,7.9,7.1,6.7,6.4,5.4,4.5,3.5,3,2.5,1.8,1.4,1.3,1.3
Seoul,25-29 (¢¶),121.4,101.9,85.7,84,79.3,67.1,64.8,67.3,58.5,53.9,52,50.2,49.2,41.6,39.5,38.1,33.3,26.6,21.5,17.7,14.3,12.1,9.9,8.5,8.3
